ticker.x,Date,stockpx,iv30,iv60,iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,Zdclshv,X20dclshv,X60dclshv,X120dclshv,X252dclshv,X10dorhv,X20dorhv,X60dorhv,X120dorhv,X252dorhv,High.y,Low.y,Open.y,Close.y,Volume.y,Adj.Close,ticker.y
MSFT,12/31/2018,101.57,37.24,34.74,32.83,36.65,20,35.62,48,33.83,76,29.96,174,3.7184,0.0688,3.71779,0.0543,47.57,41.17,39.35,30.44,28.18,52.04,45.41,40.65,31.6,29.52,101.290001,102.400002,100.440002,101.57,98.014908,33173800,MSFT
MSFT,12/28/2018,100.39,40.4,36.81,34.67,37.86,23,37.56,51,35.59,79,30.91,177,3.31237,0.052,3.68643,0.0563,48.41,40.8,39.25,30.4,28.15,53.53,45.37,40.57,31.54,29.49,102.089996,102.410004,99.519997,100.389999,96.876213,38196300,MSFT
MSFT,12/27/2018,101.18,40.19,38.24,35.92,40.75,24,39.16,52,36.48,80,32.95,178,3.28359,0.0511,3.65385,0.0585,48.72,43.27,39.24,30.39,28.14,53.14,46.09,40.44,31.45,29.44,99.300003,101.190002,96.400002,101.18,97.638557,49498500,MSFT
MSFT,12/26/2018,100.56,39.01,37.63,34.98,39.11,25,38.55,53,35.58,81,31.39,179,3.32569,0.0675,3.74879,0.0578,48.62,43.27,39.29,30.44,28.14,51.44,45.09,40.03,31.22,29.3,95.139999,100.690002,93.959999,100.559998,97.040268,51634800,MSFT
MSFT,12/24/2018,94.13,42.25,40.44,37.93,42.88,27,40.98,55,38.65,83,33.1,181,3.17923,0.1054,3.83196,0.054,30.13,37.3,36.52,28.81,27.31,43.77,41.02,38.27,30.11,28.74,97.68,97.970001,93.980003,94.129997,90.835297,43935200,MSFT
MSFT,12/21/2018,98.23,36.33,36.69,34.37,143.13,2,36.32,30,36.95,58,34.68,86,2.76094,0.1133,3.64558,0.0671,31.27,34.72,35.65,28.2,26.98,42.32,39.18,37.57,29.71,28.52,101.629997,103,97.459999,98.230003,94.791809,111242100,MSFT
MSFT,12/20/2018,101.51,35.59,34.66,33.24,55.62,3,35.59,31,34.76,59,33.48,87,2.76597,0.066,3.72535,0.0586,33.05,33.31,35.11,27.88,26.78,42.16,37.1,36.76,29.26,28.28,103.050003,104.309998,98.779999,101.510002,97.957016,70334200,MSFT
MSFT,12/19/2018,103.69,32.04,32.29,30.93,44.02,4,32.02,32,32.35,60,31.06,88,2.50837,0.0605,3.56998,0.05,32.69,33.93,34.88,27.71,26.7,40.16,36.27,36.08,28.85,28.07,103.650002,106.879997,101.349998,103.690002,100.060707,68198200,MSFT
MSFT,12/18/2018,103.97,31.66,32.56,30.92,40.14,5,31.41,33,32.56,61,30.99,89,3.07296,0.0658,3.84104,0.0671,35.17,35.88,34.89,27.74,26.71,39.97,36.64,35.6,28.54,27.9,103.75,104.510002,102.519997,103.970001,100.330902,49319200,MSFT
MSFT,12/17/2018,102.89,33.15,33.39,31.58,46.09,6,33.03,34,33.26,62,31.64,90,2.81971,0.0725,3.63415,0.0559,35.22,35.84,34.84,27.8,26.8,40.21,36.62,35.55,28.6,27.96,105.410004,105.800003,101.709999,102.889999,99.288696,56957300,MSFT
